# Qw,Qs,rh,rho_s,D_s,n,t,r_type,Ran
2.6E+00,5.4E+01,3.333333E-05,2.65E+03,1E-02,5E-01,7500,1E+00,0
4E-01,6E+00,3.333333E-05,2.65E+03,1E-02,5E-01,3750,1E+00,0
1.5E+00,3.4E+01,3.333333E-05,2.65E+03,1E-02,5E-01,5000,1E+00,0
1E+00,3E+01,3.333333E-05,2.65E+03,1E-02,5E-01,5000,1E+00,0
1E-02,2E+00,3.333333E-05,2.65E+03,1E-02,5E-01,1750,1E+00,0
7E-02,2.5E+00,3.333333E-05,2.65E+03,1E-02,5E-01,2500,1E+00,0
1.5E-01,4E+00,3.333333E-05,2.65E+03,1E-02,5E-01,3000,1E+00,0
3E-01,7E+00,3.333333E-05,2.65E+03,1E-02,5E-01,3000,1E+00,0
1E-01,2E+01,3.333333E-05,2.65E+03,1E-02,5E-01,2500,1E+00,0
2E-02,2E+00,3.333333E-05,2.65E+03,1E-02,5E-01,1250,1E+00,0
2E+00,4E+01,3.333333E-05,2.65E+03,1E-02,5E-01,6250,1E+00,0